,Same,Different,Same_RT,Different_RT,age,gender,q1,q2,q3,q4,q5,q6,q7,q8,q9,WorkLocation
205,17,9,3377.766667,2683.441176,31,male,1,2,2,2,4,4,2,1,0,Office
206,13,16,2349.6625,3643.053846,50,male,1,1,6,6,1,1,6,5,78,Home
207,7,20,4639.02,5707.385714,25,male,5,5,5,5,0,3,6,5,88,Unemployed
208,19,17,2673.058824,2351.947368,31,female,4,3,0,2,0,2,0,0,0,Home
209,18,16,2686.75,2886.877778,36,male,6,2,0,1,2,1,0,3,12,Home
210,16,18,12062.80556,7327.3375,22,female,6,5,5,5,4,4,6,3,97,Unemployed
211,11,14,3198.685714,2876.909091,18,male,6,5,4,6,0,1,6,2,92,Home
212,12,15,2596.22,2784.158333,21,female,4,1,0,6,1,4,0,4,16,Office
213,12,10,5291.64,6462.908333,53,female,4,5,6,6,1,1,6,5,99,Office
214,19,13,10825.9,3963.647368,26,female,4,2,5,5,3,5,3,2,55,Home
215,16,12,9046.466667,4587.74375,27,female,4,5,6,2,3,5,2,5,44,Unemployed
216,17,12,3203.05,4858.858824,35,male,1,2,0,1,3,3,1,0,2,Home
217,15,14,11588.04286,8524.153333,27,female,5,6,6,4,0,6,6,6,77,Office
218,19,17,4991.205882,5529.784211,31,male,4,4,2,5,4,4,1,4,27,Home
219,14,20,12191.53,13235.71429,28,male,6,5,6,4,5,5,4,5,66,Unemployed
220,14,16,6917.89375,9292.985714,27,female,4,3,6,6,2,4,6,5,78,Unemployed
221,18,14,8551.371429,9002.333333,29,female,5,5,4,4,4,5,1,1,39,Office
222,17,20,10186.305,14927.11176,39,female,4,3,5,5,1,4,4,4,66,Office
223,17,8,8469.3125,6531.841176,26,male,4,6,6,6,6,0,6,6,95,Unemployed
224,9,18,3545.477778,3672.5,39,female,5,1,4,3,0,0,1,4,10,Office
225,8,16,6350.15,5191.3125,29,male,5,5,5,5,1,1,5,1,60,Home
226,19,15,2292.32,2190.052632,22,female,3,2,5,4,2,2,3,3,40,Home
227,13,14,10996.77143,10204.26923,19,female,5,5,6,5,1,1,5,5,66,Unemployed
228,12,15,7713.333333,7228.25,23,male,5,6,6,5,1,0,5,2,66,Unemployed
229,14,10,1017.19,974.2857143,29,female,3,2,5,5,1,3,6,1,11,Unemployed
230,18,18,2804.794444,2524.144444,20,female,2,5,4,1,1,1,1,4,44,Office
231,10,11,3316.354545,3035.74,22,male,6,6,6,6,1,1,5,2,77,Unemployed
232,18,18,5306.716667,6010.827778,34,male,5,1,0,1,0,2,1,2,72,Office
233,12,17,3416.082353,4611.533333,19,female,4,3,6,5,2,5,5,2,96,Unemployed
234,16,16,2458.89375,2782.95625,29,female,5,6,6,6,3,5,6,3,89,Office
235,12,13,1191.153846,1317.5,22,male,2,1,5,5,5,5,6,5,98,Home
236,13,17,6411.117647,3223.446154,26,female,5,6,6,6,4,4,5,5,88,Unemployed
237,12,14,4404.157143,3438.2,25,male,6,6,6,4,0,0,4,0,72,Office
238,8,17,6128.782353,7977.825,27,female,5,5,6,6,3,3,5,3,83,Office
239,12,17,3590.247059,5039.008333,27,female,5,4,6,5,1,3,5,3,55,Unemployed
240,13,20,4044.805,8828.276923,21,female,4,5,5,5,2,1,5,3,83,Home
241,11,15,4860.342667,2882.466364,45,male,5,5,6,5,4,4,5,3,91,Home
242,18,15,8009.26,4558.244444,18,female,4,6,6,5,1,4,6,5,96,Unemployed
243,12,17,4915.935294,6975.933333,18,male,6,6,3,1,1,1,1,0,27,Unemployed
244,19,18,3487.005556,3652.805263,19,female,5,3,5,4,0,1,3,2,66,Unemployed
245,13,15,3505.28,3482.915385,22,female,6,4,6,6,2,2,6,4,89,Home
246,11,17,1780.770588,2392.772727,26,male,4,1,2,5,1,4,1,1,11,Office
247,18,12,2139.75,2374.511111,18,male,6,4,1,3,0,0,0,0,5,Office
248,18,12,4698.666667,3751.555556,25,male,6,6,6,6,0,0,6,6,100,Unemployed
249,14,15,8759.28,10324.08571,22,male,5,5,6,5,4,3,4,5,77,Unemployed
250,10,20,4593.545,9383.26,25,male,5,5,1,4,0,0,1,4,22,Office
251,8,19,2298.747368,3230.75,26,male,2,1,2,2,0,2,0,0,11,Office
252,12,17,7866.535294,5837.325,21,female,5,3,6,5,2,3,6,6,94,Unemployed
253,11,18,8384.5,6199.881818,21,female,6,6,6,5,1,4,6,5,94,Home
254,13,15,3226.813333,3174.284615,27,male,6,6,4,4,4,3,4,4,37,Unemployed
255,8,18,5576.011111,6541.3625,24,female,5,4,5,5,0,2,5,4,77,Unemployed
256,20,13,15193.55385,11335.91,22,male,5,5,6,6,1,2,5,5,76,Home
257,16,18,1930.677778,1718.0125,22,male,4,1,4,4,1,1,0,0,3,Home
258,10,16,4462.125,3403.17,23,male,3,2,6,3,2,2,6,4,90,Unemployed
259,18,15,4892.52,4963.027778,18,male,6,6,6,6,1,1,4,6,90,Unemployed
260,12,16,3342.774062,3105.48375,21,male,6,6,6,3,1,1,3,5,44,Office
261,14,18,4088.477778,3669.842857,26,male,2,3,4,2,4,4,3,1,10,Office
262,10,20,6103.865,10060.98,28,female,4,4,6,6,3,3,6,5,67,Office
263,9,19,8724.963158,14556.84444,25,female,5,5,6,6,1,1,3,2,89,Unemployed
264,19,8,1929.7875,1965.031579,27,male,4,2,0,1,1,4,0,0,17,Office
265,12,12,4149.116667,4302.158333,23,female,6,5,5,5,0,5,4,3,84,Unemployed
266,17,12,5639.833333,5038.941176,25,female,4,5,6,5,3,2,3,2,68,Unemployed
267,18,11,6096.3,8123.8,21,female,6,6,6,4,1,1,6,6,76,Office
268,20,5,2007.04,1493.46,23,female,6,6,4,4,1,6,5,1,78,Home
269,19,14,8684.285714,6196.631579,37,male,2,2,3,3,4,4,1,1,22,Home
270,10,16,4011.30625,6494.31,21,female,6,6,6,4,1,4,5,4,66,Office
271,16,16,3491.6875,3292.5,27,male,3,1,4,4,3,3,2,1,89,Office
272,16,19,2425.157895,2851.8125,21,female,4,6,5,5,1,2,3,3,43,Unemployed
273,15,18,2078.533333,1761.88,24,male,4,5,6,6,5,4,5,4,78,Home
274,16,13,2687.430769,1744.4,24,female,6,6,6,6,1,1,6,5,89,Unemployed
275,17,7,6381.271429,2460.141176,21,male,2,4,4,4,5,6,4,3,67,Unemployed
276,15,12,1896.708333,1476.833333,27,male,5,5,4,6,4,5,5,6,81,Office
277,12,18,5418.255556,6873.95,22,female,3,4,5,5,2,1,6,6,89,Unemployed
278,17,15,3249.48,3127.705882,40,male,5,6,6,4,4,2,4,4,66,Office
279,16,12,4266.866667,3959.34375,66,male,3,2,5,4,4,5,4,3,78,Home
280,13,18,3163.227778,3122.415385,19,male,6,6,6,6,1,1,6,2,84,Unemployed
281,1,20,2700.875,7101.3,30,male,6,5,6,6,5,6,5,5,77,Unemployed
282,19,15,6161.113333,5993.478947,38,male,2,5,6,6,0,0,6,5,93,Office
283,13,12,2406.75,2305.230769,29,male,1,1,3,5,2,1,0,0,0,Office
